code,e
CKN,http://www.fao.org/figis/skate/entities/codedentity/fb0f176b-9f2d-414e-872f-9aa36f230336
RGZ,http://www.fao.org/figis/skate/entities/codedentity/b5ecb0d4-5446-48eb-ae83-e62cfb4798b0
AIU,http://www.fao.org/figis/skate/entities/codedentity/f4d34393-8831-4e63-85cb-73369e90404e
MPG,http://www.fao.org/figis/skate/entities/codedentity/1f6ed4e5-0665-49be-83c3-2dd634a873ae
PFB,http://www.fao.org/figis/skate/entities/codedentity/cfb7bd12-71d8-4860-823e-70a8b31b9fe0
SUY,http://www.fao.org/figis/skate/entities/codedentity/e9a9095a-1be2-4cae-9237-ed4c1e7d4483
NDI,http://www.fao.org/figis/skate/entities/codedentity/feb7e2e2-7826-4e52-b12e-445e9e2f7302
TGT,http://www.fao.org/figis/skate/entities/codedentity/e34e84ae-f104-4ae0-9a84-509764eaeb42
LBP,http://www.fao.org/figis/skate/entities/codedentity/68c2ed9b-3c1f-44eb-95b2-8aeeadd59a3f
OQD,http://www.fao.org/figis/skate/entities/codedentity/1bbb546c-3a0e-4f22-92c6-908465976387
MXP,http://www.fao.org/figis/skate/entities/codedentity/fb113c51-9e1c-4b5a-b582-f243047732cd
RIA,http://www.fao.org/figis/skate/entities/codedentity/f0de8379-2194-462e-8116-c4e48081c3a1
RVY,http://www.fao.org/figis/skate/entities/codedentity/14a0d7da-ef96-406b-8bf4-625e83fbdc52
YTY,http://www.fao.org/figis/skate/entities/codedentity/0f35763f-0dc4-4f67-9572-4fc895395e7f
AXT,http://www.fao.org/figis/skate/entities/codedentity/92cc0ac1-393e-4163-860e-e2787cc972dd
PUA,http://www.fao.org/figis/skate/entities/codedentity/8a973719-b0f6-4e23-be4d-576f239bf88f
AME,http://www.fao.org/figis/skate/entities/codedentity/2c58094e-b1e3-42f8-952b-1d4ac5825f37
NSH,http://www.fao.org/figis/skate/entities/codedentity/f124110e-0f0e-4509-ba27-2b78608435ed
CTL,http://www.fao.org/figis/skate/entities/codedentity/221ad1f2-0aba-4ca6-8e25-3a6ff6252c88
LQO,http://www.fao.org/figis/skate/entities/codedentity/6ead786f-6cb6-4db9-aee4-1775e4f5f448
YLC,http://www.fao.org/figis/skate/entities/codedentity/aa453146-f52e-4c8e-9e93-ad016dcc9427
FLE,http://www.fao.org/figis/skate/entities/codedentity/56c244ec-264d-4f9b-b49f-cb9164b84d69
BCZ,http://www.fao.org/figis/skate/entities/codedentity/a376f197-864d-4e53-a848-440e2d85264b
ADU,http://www.fao.org/figis/skate/entities/codedentity/c91052ce-87df-405d-b22f-1716da2a5fd7
TDA,http://www.fao.org/figis/skate/entities/codedentity/cb2e5739-042a-45c3-99a6-6b050b0c71db
DJL,http://www.fao.org/figis/skate/entities/codedentity/3c01a514-1170-415c-ae1e-cbbc7a75dfbe
SFX,http://www.fao.org/figis/skate/entities/codedentity/20775fb4-37b0-472f-b9bd-f64f02d07a16
BHS,http://www.fao.org/figis/skate/entities/codedentity/4fa9facf-2e19-4b8b-929c-b5a43f4bb577
LOK,http://www.fao.org/figis/skate/entities/codedentity/ba3fb2b4-47c9-449c-bb4f-0699f227155e
CIL,http://www.fao.org/figis/skate/entities/codedentity/fe9bbd83-ada4-4aed-9cf6-e41984bcd770
OCG,http://www.fao.org/figis/skate/entities/codedentity/36c6566b-2920-4a42-80d3-50c1e5e21cda
CIR,http://www.fao.org/figis/skate/entities/codedentity/16f24650-6a37-42c8-8953-85687c53e843
MAN,http://www.fao.org/figis/skate/entities/codedentity/79f990ff-df43-4b41-9f38-ee1f5361593a
GBX,http://www.fao.org/figis/skate/entities/codedentity/f1739976-9a46-4fd1-92e4-8421c68b5705
SIO,http://www.fao.org/figis/skate/entities/codedentity/86777fa0-65df-4a0c-9275-35c625306ad8
TAR,http://www.fao.org/figis/skate/entities/codedentity/e459fef3-7354-42f2-b670-00ba1a1e1960
DYK,http://www.fao.org/figis/skate/entities/codedentity/a22555f3-f984-4d33-a8a7-08e5270158e6
SUW,http://www.fao.org/figis/skate/entities/codedentity/77949ab8-62d2-47ea-b766-67421745fe89
ORF,http://www.fao.org/figis/skate/entities/codedentity/2adb5e91-d4b4-4ee2-8079-f6cd276051b3
MHB,http://www.fao.org/figis/skate/entities/codedentity/ee5672f4-1713-4378-92d5-70549ecce591
MPM,http://www.fao.org/figis/skate/entities/codedentity/e914a35f-f4cc-482e-a711-74da4a9a3dbf
KNT,http://www.fao.org/figis/skate/entities/codedentity/7b1c5ca0-cc51-4ec3-a5f6-e36ecf1ed6d7
GKC,http://www.fao.org/figis/skate/entities/codedentity/9ac0ea59-0179-4e48-aa2b-02d3d541257b
EIJ,http://www.fao.org/figis/skate/entities/codedentity/45020ab5-e0e6-430a-954a-db110a0ec26f
TEV,http://www.fao.org/figis/skate/entities/codedentity/8c3f1493-e752-483b-b870-c50eb6ada34d
CGQ,http://www.fao.org/figis/skate/entities/codedentity/f26b0389-9e87-48c4-b02a-ecfd93a0a450
AEX,http://www.fao.org/figis/skate/entities/codedentity/03731787-179e-4970-b9c5-aa2144285bf2
PBE,http://www.fao.org/figis/skate/entities/codedentity/76b6b941-5cf4-4d99-8d58-f871af65fbee
NNB,http://www.fao.org/figis/skate/entities/codedentity/d1d66344-76ae-4c58-b71b-ae1248fcf324
SPP,http://www.fao.org/figis/skate/entities/codedentity/725b9137-b3f4-41e1-b887-1ba7b308358c
BWW,http://www.fao.org/figis/skate/entities/codedentity/7102fc22-4eb1-4ebd-8aab-a8dcf7afa6a1
NOC,http://www.fao.org/figis/skate/entities/codedentity/1843f4c8-fb85-4507-8219-d42a9929dcf8
EJG,http://www.fao.org/figis/skate/entities/codedentity/951e3b62-6604-4bcd-a2ca-de3e5ba2bbf7
EXI,http://www.fao.org/figis/skate/entities/codedentity/e7d48aba-9d7b-4dc4-964b-b8500254d18f
UQP,http://www.fao.org/figis/skate/entities/codedentity/6b437010-79c0-47e7-91e4-9dbf5f683b9a
RZX,http://www.fao.org/figis/skate/entities/codedentity/046e0c1d-231c-4533-a41d-4c293518c43a
TTU,http://www.fao.org/figis/skate/entities/codedentity/2078998c-5799-4ed5-9a77-17f26740431d
CVP,http://www.fao.org/figis/skate/entities/codedentity/f3ca7acc-e0b7-4fc6-ae4b-110af5c9a2d8
ATW,http://www.fao.org/figis/skate/entities/codedentity/9986ad02-31dd-4b41-8d20-99551c6d684b
PQD,http://www.fao.org/figis/skate/entities/codedentity/6ac82d53-c40a-4081-b582-6fce1879f4e9
SRW,http://www.fao.org/figis/skate/entities/codedentity/4ef30a8b-4865-4158-9de3-37908495ba3e
NOK,http://www.fao.org/figis/skate/entities/codedentity/38b03b9b-ab55-4b61-a1de-3f70d30a9784
LMR,http://www.fao.org/figis/skate/entities/codedentity/6dd330cd-d6dd-4450-a176-0c4f01f7793f
BFB,http://www.fao.org/figis/skate/entities/codedentity/8ad4f1c4-a682-4c21-b657-f58f33b14008
BSE,http://www.fao.org/figis/skate/entities/codedentity/50285846-191c-467b-9af0-80e69f00930a
MRO,http://www.fao.org/figis/skate/entities/codedentity/46880e33-8109-463c-9ffa-31e3058401bc
HJA,http://www.fao.org/figis/skate/entities/codedentity/7f183ee4-509e-4005-926f-b41a776cd62f
LBN,http://www.fao.org/figis/skate/entities/codedentity/1bdb8a09-b6f3-4ede-a9e2-d4123e6bb8bb
UDA,http://www.fao.org/figis/skate/entities/codedentity/6f2c4f12-6bb7-49ae-a377-909af30c1563
AIE,http://www.fao.org/figis/skate/entities/codedentity/fb49dafa-8185-43a6-9887-b18b2da103aa
UDT,http://www.fao.org/figis/skate/entities/codedentity/9b6c3cb6-0e06-492c-9d57-d5a8478a19fd
DFO,http://www.fao.org/figis/skate/entities/codedentity/50402f4a-cf99-4dd8-8394-3a8fe4bfa57c
BDV,http://www.fao.org/figis/skate/entities/codedentity/a8e4b15b-a28c-4c20-80db-4f145c65ef54
CSX,http://www.fao.org/figis/skate/entities/codedentity/8e836b55-f786-4fb9-97d4-0042eaa5b525
HPG,http://www.fao.org/figis/skate/entities/codedentity/a53db4c3-0cd1-4104-bb67-7879dfb24462
ACR,http://www.fao.org/figis/skate/entities/codedentity/1f4d165e-67d9-4b44-aa48-2e72d54a43d4
INN,http://www.fao.org/figis/skate/entities/codedentity/ce686de8-39ef-4b55-8c2b-d84473495011
LSM,http://www.fao.org/figis/skate/entities/codedentity/d2e7e97e-6c9a-404f-bde6-9a27fa9f41d5
NDB,http://www.fao.org/figis/skate/entities/codedentity/d1211e7f-8f46-4921-92b1-5f6ce1e02e2b
JPD,http://www.fao.org/figis/skate/entities/codedentity/34aace18-a61f-4c24-afc1-75323b2c45b5
USS,http://www.fao.org/figis/skate/entities/codedentity/0e78ec44-a678-4a0c-949a-1bff1f34bbd1
DUN,http://www.fao.org/figis/skate/entities/codedentity/1529779e-34f3-47e3-b9d6-4af3b21acbd8
SQZ,http://www.fao.org/figis/skate/entities/codedentity/8c19e7cd-3441-4ff4-b2b1-119a10045535
BSU,http://www.fao.org/figis/skate/entities/codedentity/89cd07db-0e21-4ebf-89fc-4b14f9d3a9d6
QPB,http://www.fao.org/figis/skate/entities/codedentity/da886d79-cc05-4f39-befc-f1a23e3308b7
ONI,http://www.fao.org/figis/skate/entities/codedentity/d498a86e-09ad-4bde-b2fc-a3e9f9530f31
PHY,http://www.fao.org/figis/skate/entities/codedentity/34667ca5-f124-45e0-8f69-b74bf4014650
MLP,http://www.fao.org/figis/skate/entities/codedentity/f8a768fc-d471-4094-af5d-b656d1319b5a
BRO,http://www.fao.org/figis/skate/entities/codedentity/1d823ee9-634f-46fe-96b3-3735869f2f4e
CTI,http://www.fao.org/figis/skate/entities/codedentity/8941cdf9-30a2-4b41-ba90-984d97482f76
PIE,http://www.fao.org/figis/skate/entities/codedentity/497c3690-7131-411a-ba61-0dcaf8f694c0
PWN,http://www.fao.org/figis/skate/entities/codedentity/2e0fa8bd-bdb2-4978-af78-fb74f738b1ca
XEK,http://www.fao.org/figis/skate/entities/codedentity/eecb6ed4-6532-4b85-b2b8-f166d2f1722e
GGF,http://www.fao.org/figis/skate/entities/codedentity/2e7a5f04-95a2-4e79-877c-f5f33ed0da4f
EEM,http://www.fao.org/figis/skate/entities/codedentity/8b2683a9-66e7-498a-a7bd-b2817c78f2dc
TAY,http://www.fao.org/figis/skate/entities/codedentity/76eb3f94-9acd-40a8-af02-42aedae7915e
CCT,http://www.fao.org/figis/skate/entities/codedentity/bb39645a-6e05-4538-a0aa-848f5e9619a4
LMK,http://www.fao.org/figis/skate/entities/codedentity/7edc89d1-539c-4bf2-849a-606617c677c6
YDF,http://www.fao.org/figis/skate/entities/codedentity/d9bbb386-645b-498a-b40d-036bd493b499
HCP,http://www.fao.org/figis/skate/entities/codedentity/5473a698-6f9e-4a21-a3f6-8ae1a46b9443
ONR,http://www.fao.org/figis/skate/entities/codedentity/7cd3a4a9-26e3-4d0a-939a-ba4bdac3deb7
KYV,http://www.fao.org/figis/skate/entities/codedentity/1afbb697-7590-4a99-8f64-68f8cdac6a75
GTK,http://www.fao.org/figis/skate/entities/codedentity/824c0edf-1baa-44ea-8f98-580b649c2d46
RNY,http://www.fao.org/figis/skate/entities/codedentity/a343aec3-3ab9-4c28-9d27-7ee319bf247e
GSL,http://www.fao.org/figis/skate/entities/codedentity/c1c0e42b-54dd-47ea-8ee9-57c26e32c798
ETL,http://www.fao.org/figis/skate/entities/codedentity/aed246ec-9acc-4b66-85f6-5427ef9af845
TPX,http://www.fao.org/figis/skate/entities/codedentity/de9a3595-d45e-44a6-af7b-67ba58a5c437
CRS,http://www.fao.org/figis/skate/entities/codedentity/c709701c-c0e9-4061-8b9d-cd58af6a8276
LNR,http://www.fao.org/figis/skate/entities/codedentity/6041b99f-3a10-46fd-86dc-0b97eadac3f7
APZ,http://www.fao.org/figis/skate/entities/codedentity/fa0863bb-2a8d-4aab-b7d1-f2bf6b6ad137
PMG,http://www.fao.org/figis/skate/entities/codedentity/197a35f7-f947-4f60-bc8d-3f92b1c45757
NKN,http://www.fao.org/figis/skate/entities/codedentity/485399e6-7b86-4488-bd42-de4fe7a2d514
DDZ,http://www.fao.org/figis/skate/entities/codedentity/0ed9d146-32d4-43e6-aab1-729096bfd302
LIU,http://www.fao.org/figis/skate/entities/codedentity/0b1637ad-1987-44a1-b9ef-735e37ea4004
YDI,http://www.fao.org/figis/skate/entities/codedentity/91b5358c-61d9-457e-9aca-06f8bfd20929
HFD,http://www.fao.org/figis/skate/entities/codedentity/6381c06b-4fcf-4e11-9178-f927ad859bd4
MXG,http://www.fao.org/figis/skate/entities/codedentity/94afa796-3a85-4d2b-bdfe-699eefddea09
FDK,http://www.fao.org/figis/skate/entities/codedentity/b1ef9dea-ab1f-4a94-a5dd-06bc3b7ddd68
INO,http://www.fao.org/figis/skate/entities/codedentity/f5546a90-771f-4db2-9f0d-ae1114a9acb9
RTF,http://www.fao.org/figis/skate/entities/codedentity/33b27f9f-a15a-4f7b-9aa9-ae68c9687533
NZM,http://www.fao.org/figis/skate/entities/codedentity/97325ffe-c4fc-4193-b052-3e30bbbf289f
DLU,http://www.fao.org/figis/skate/entities/codedentity/b5920cf3-28ef-48fd-b633-4f765d64afcb
EJO,http://www.fao.org/figis/skate/entities/codedentity/1f8eb0c9-a798-4334-b170-cc7634bc1dc5
KAC,http://www.fao.org/figis/skate/entities/codedentity/bdeb1130-d531-482d-8e5e-09d57b550742
GFA,http://www.fao.org/figis/skate/entities/codedentity/b6d57486-51b0-45fe-9338-4fd106e2639b
YSH,http://www.fao.org/figis/skate/entities/codedentity/30752fc5-26db-40d9-b2a8-4c3bda18281f
HUC,http://www.fao.org/figis/skate/entities/codedentity/79578d41-61ef-4a9f-8d25-96d0640d4a5d
ZAE,http://www.fao.org/figis/skate/entities/codedentity/9510790d-a3ed-4618-9775-9ad623b9b953
LPY,http://www.fao.org/figis/skate/entities/codedentity/70bcd102-c1bf-4e18-85d1-a66b6af6c9c8
ARZ,http://www.fao.org/figis/skate/entities/codedentity/ae8624c9-d0bc-4ceb-92f7-8ece1db592ee
WHM,http://www.fao.org/figis/skate/entities/codedentity/984f12ba-5331-43b3-b1b1-0a6bab52d25e
EJJ,http://www.fao.org/figis/skate/entities/codedentity/d2a0e35f-3d59-48ff-9965-2a8f066baa42
ROT,http://www.fao.org/figis/skate/entities/codedentity/0171b4a3-bfa1-402a-92fb-d28c7de7fab1
ALU,http://www.fao.org/figis/skate/entities/codedentity/887f92d4-d764-4f38-bc3b-f81c95ba4578
POM,http://www.fao.org/figis/skate/entities/codedentity/2b7b2ffb-c9db-4f40-ab5b-e9dae9f9770b
BOX,http://www.fao.org/figis/skate/entities/codedentity/86639f83-23c9-4eb6-b406-63f6ab27903f
QLE,http://www.fao.org/figis/skate/entities/codedentity/c0ac4e97-b5be-43cf-a657-236f0d511c07
OJL,http://www.fao.org/figis/skate/entities/codedentity/dea2fde0-bf37-4aec-b536-6056a512ef54
MHS,http://www.fao.org/figis/skate/entities/codedentity/f640e97a-39dd-403a-90a3-b8c6f34bf49c
CIM,http://www.fao.org/figis/skate/entities/codedentity/488512ab-fbed-4239-96ee-b581cf8d1722
IEB,http://www.fao.org/figis/skate/entities/codedentity/54a68485-038b-49ca-8310-ebae754947df
GCI,http://www.fao.org/figis/skate/entities/codedentity/500b1f68-fc3b-484c-a7af-ebdd441bf8e7
TVG,http://www.fao.org/figis/skate/entities/codedentity/02cf685a-0b7d-4149-95da-e03cb99456eb
EAP,http://www.fao.org/figis/skate/entities/codedentity/a000eb47-8823-402b-bd6e-c13612b49dae
SJN,http://www.fao.org/figis/skate/entities/codedentity/2b808853-a458-40a9-b8a0-a57f13af3d4a
TBY,http://www.fao.org/figis/skate/entities/codedentity/ada0ea83-3e09-4d5e-a14a-2af83ac7b7e4
UFC,http://www.fao.org/figis/skate/entities/codedentity/947799aa-19cd-4972-94d1-ca6421a2df47
OYK,http://www.fao.org/figis/skate/entities/codedentity/f5ffc45d-f306-4907-b062-761f4b29f907
MWR,http://www.fao.org/figis/skate/entities/codedentity/0278841d-6072-413b-9e9a-46d8e1bf2d75
KMD,http://www.fao.org/figis/skate/entities/codedentity/163f5c08-5b09-4746-b22b-7899d0c5cd7b
KUY,http://www.fao.org/figis/skate/entities/codedentity/4a2fa3c6-b750-43be-b805-b93895ea4430
LDE,http://www.fao.org/figis/skate/entities/codedentity/f1ab47d1-d897-430e-915c-2eddc492e206
ITA,http://www.fao.org/figis/skate/entities/codedentity/443aee77-1f23-4e24-bc62-fe46cc891d27
GRH,http://www.fao.org/figis/skate/entities/codedentity/8a283ba6-1784-40d3-9cfe-d8b25a0005b5
EPO,http://www.fao.org/figis/skate/entities/codedentity/4081e471-b4f0-4ab7-b3b2-2b5c18ba63e1
GGH,http://www.fao.org/figis/skate/entities/codedentity/bc129577-e4af-4c91-bca3-4c63573aa8cf
RKC,http://www.fao.org/figis/skate/entities/codedentity/b5157401-afba-4068-bbbe-af6d917cb32b
PIJ,http://www.fao.org/figis/skate/entities/codedentity/61cd7f51-600d-4f8c-b41c-7a735955998a
NGQ,http://www.fao.org/figis/skate/entities/codedentity/ebce4512-be05-44e3-84e2-2a3ef8b00768
HBG,http://www.fao.org/figis/skate/entities/codedentity/17a1abbb-53f5-4120-bb75-38fcc5f94e15
GYG,http://www.fao.org/figis/skate/entities/codedentity/88441974-a0e6-4bbc-a813-0ec67623d0e8
RYG,http://www.fao.org/figis/skate/entities/codedentity/8dd8ff0a-3da0-4d9c-8523-c77be9c0ed6b
PXI,http://www.fao.org/figis/skate/entities/codedentity/9c4b4174-e329-4dd6-a59a-184bfd2af80f
MLS,http://www.fao.org/figis/skate/entities/codedentity/e9afe4b2-8818-4761-b78e-9423ebe203a2
NVP,http://www.fao.org/figis/skate/entities/codedentity/a4acf743-3e99-469a-a796-9d7e4565061e
TLF,http://www.fao.org/figis/skate/entities/codedentity/86da3c0c-36c7-4719-8ae0-01c22ee2d6e0
LTW,http://www.fao.org/figis/skate/entities/codedentity/5f86012f-b587-48ab-a106-6b62369f56f6
HQF,http://www.fao.org/figis/skate/entities/codedentity/6e934d7a-4cb2-4508-a663-14ada1d711dd
OFF,http://www.fao.org/figis/skate/entities/codedentity/3777d9bb-d722-4597-a71e-00fcbe62ace1
SJA,http://www.fao.org/figis/skate/entities/codedentity/fce810da-c55d-4e77-a04d-78702a48b2e7
TWC,http://www.fao.org/figis/skate/entities/codedentity/07337a65-1eb2-4827-81e3-785dd54e1abd
OFO,http://www.fao.org/figis/skate/entities/codedentity/8acf9e1c-4f30-4a30-94ab-fcde45037cf8
PZD,http://www.fao.org/figis/skate/entities/codedentity/449d838a-e099-44b5-996f-33b64e8fa309
MHQ,http://www.fao.org/figis/skate/entities/codedentity/2fc2228d-00df-4108-aa77-007d36ca1245
PIP,http://www.fao.org/figis/skate/entities/codedentity/db3d53da-b069-4197-aa47-a5974598bb71
IAE,http://www.fao.org/figis/skate/entities/codedentity/e5622d5e-3a81-4b5a-b109-aa45ae1dff25
UDO,http://www.fao.org/figis/skate/entities/codedentity/7ae7ee74-05f8-4f46-bb43-b8f6461a3c79
OUN,http://www.fao.org/figis/skate/entities/codedentity/adb6daa2-b8f5-4eb9-b114-34f200568b78
MDD,http://www.fao.org/figis/skate/entities/codedentity/ca0c793e-c7c6-4c87-9343-ee74fb11695f
MSU,http://www.fao.org/figis/skate/entities/codedentity/a033e990-e401-4588-9a6f-7cbbff85116a
POY,http://www.fao.org/figis/skate/entities/codedentity/1144196a-6090-40b9-8e9b-4b924af2f809
DXC,http://www.fao.org/figis/skate/entities/codedentity/2c64877a-ca87-4574-b830-12a0aebe293d
BGU,http://www.fao.org/figis/skate/entities/codedentity/d7e8dbb0-361c-40c0-b920-d181a4b36b85
IPD,http://www.fao.org/figis/skate/entities/codedentity/134befbf-5640-4204-89da-e603f4aba70b
NDU,http://www.fao.org/figis/skate/entities/codedentity/36e32be9-688b-443d-bdda-d2b1dd739d10
GNK,http://www.fao.org/figis/skate/entities/codedentity/a42edc26-d009-4b11-8785-bf146aac453f
HEB,http://www.fao.org/figis/skate/entities/codedentity/cbc28ce1-bf16-4e65-b314-7945d3d08c22
ELR,http://www.fao.org/figis/skate/entities/codedentity/f02746a3-4042-42f7-9721-9743449c4e96
HMV,http://www.fao.org/figis/skate/entities/codedentity/fa315a04-ee74-4068-b0d7-0ad1ea5c1e76
CJY,http://www.fao.org/figis/skate/entities/codedentity/71fa9540-39c7-48b5-bdc4-fea91749d01d
RGF,http://www.fao.org/figis/skate/entities/codedentity/ffab5ffc-46e3-4f2c-bdc3-d483b0044678
AIA,http://www.fao.org/figis/skate/entities/codedentity/1805d433-dad6-4d86-8c1d-bdb079f7a83c
PEM,http://www.fao.org/figis/skate/entities/codedentity/27cef471-7a04-4352-8890-b41ca00a7395
NCT,http://www.fao.org/figis/skate/entities/codedentity/f0628c28-3836-4af9-aa12-2f5fa1fadc02
KCE,http://www.fao.org/figis/skate/entities/codedentity/14dc326d-6297-4a04-bb97-de1d3533ca6f
ROA,http://www.fao.org/figis/skate/entities/codedentity/0b6d0412-9e97-4447-a77f-6922ac4f74cc
RJM,http://www.fao.org/figis/skate/entities/codedentity/b4871dcd-37a7-4a93-9307-a950f35def33
CYX,http://www.fao.org/figis/skate/entities/codedentity/158637ae-e8e6-4660-9937-0d8e82ff77ee
PTL,http://www.fao.org/figis/skate/entities/codedentity/24989485-116a-4420-b1de-595928f4f468
NRS,http://www.fao.org/figis/skate/entities/codedentity/d2d34ea7-6d1b-41ab-ac7c-8e7fd56eb857
LPZ,http://www.fao.org/figis/skate/entities/codedentity/af33ae83-9a02-4979-b3f0-f5295e368a00
JOB,http://www.fao.org/figis/skate/entities/codedentity/2a3a1eda-9407-4073-8bfe-9bbd9390b11e
YKN,http://www.fao.org/figis/skate/entities/codedentity/0385f4b5-bcdb-48a2-add3-fad6f782d9c5
HMI,http://www.fao.org/figis/skate/entities/codedentity/6c0dc20b-7927-4890-95b0-0a0569ea5ea2
TNN,http://www.fao.org/figis/skate/entities/codedentity/6f6d80da-4d90-4271-8237-56af4d7208c3
FKP,http://www.fao.org/figis/skate/entities/codedentity/8ede8229-4d1f-463d-96e8-57b00353f1e3
SLC,http://www.fao.org/figis/skate/entities/codedentity/47d493cc-5f3a-4587-9efb-14aad6b362ef
DIW,http://www.fao.org/figis/skate/entities/codedentity/cb67a15f-a4ae-4d55-b4fe-be06ca14d880
SFD,http://www.fao.org/figis/skate/entities/codedentity/520edc78-1f15-4a05-9e4e-e95090f97f78
YCF,http://www.fao.org/figis/skate/entities/codedentity/149bb670-ff2e-4a08-8ad9-2e167c79ee71
OBR,http://www.fao.org/figis/skate/entities/codedentity/134af336-e82c-4db8-b967-77cab13bbc59
ITI,http://www.fao.org/figis/skate/entities/codedentity/86b8f8b9-90bb-42a7-800d-8a11f720bd82
BGN,http://www.fao.org/figis/skate/entities/codedentity/a121e3a0-c8e3-4f4e-b8eb-2f49026ce548
HAZ,http://www.fao.org/figis/skate/entities/codedentity/45afd27b-6f93-432b-91de-42fef37422bc
DXV,http://www.fao.org/figis/skate/entities/codedentity/4ca0f9a7-8d11-4552-9f31-c0e63a1504fd
